snow_type_dry,snow_type_unknown,snow_type_wet,trigger_type_explosive,trigger_type_natural,trigger_type_unknown,max_elevation,min_elevation,aspect_degrees,length,width,perimeter,area,aval_size_class,weight_AAI,risk_index
1,0,0,0,1,0,2562.0,2484.0,42.0,101.0,123.0,355.0,8762.0,2,2,2
1,0,0,0,1,0,2494.0,2356.0,21.0,127.0,351.0,834.0,30522.0,3,3,2
1,0,0,0,0,0,2115.0,2017.0,200.0,166.0,85.0,454.0,7837.0,2,2,2
1,0,0,0,1,0,2085.0,1986.0,42.0,128.0,18.0,265.0,1522.0,2,2,2
1,0,0,0,1,0,2605.0,2529.0,240.0,127.0,63.0,324.0,5929.0,2,2,2
1,0,0,0,1,0,2559.0,2524.0,81.0,66.0,104.0,279.0,4611.0,2,2,2
1,0,0,0,1,0,1782.0,1723.0,111.0,136.0,99.0,392.0,10561.0,2,2,2
0,1,0,0,0,0,2181.0,2136.0,98.0,62.0,18.0,136.0,639.0,2,2,2
0,1,0,0,0,0,1665.0,1636.0,89.0,68.0,16.0,152.0,891.0,2,2,2
1,0,0,0,0,0,2112.0,1854.0,253.0,431.0,95.0,1106.0,24276.0,3,3,2
1,0,0,0,0,0,2147.0,1987.0,253.0,205.0,23.0,438.0,3920.0,2,2,2
1,0,0,0,0,0,2587.0,2525.0,113.0,149.0,80.0,399.0,8773.0,2,2,2
1,0,0,0,0,0,2645.0,2548.0,51.0,137.0,26.0,300.0,2291.0,2,2,2
1,0,0,0,0,0,2572.0,2434.0,54.0,208.0,27.0,441.0,3038.0,2,2,2
1,0,0,0,0,0,2519.0,2456.0,305.0,113.0,72.0,323.0,5702.0,2,2,2
1,0,0,0,0,0,2161.0,2074.0,119.0,111.0,25.0,247.0,1484.0,2,2,2
1,0,0,0,0,0,2082.0,2024.0,124.0,109.0,31.0,247.0,2737.0,2,2,2
1,0,0,0,0,0,2553.0,2515.0,325.0,54.0,26.0,137.0,1102.0,2,2,2
1,0,0,0,0,0,2097.0,1965.0,250.0,274.0,53.0,596.0,11671.0,2,2,2
1,0,0,0,0,0,2366.0,2253.0,327.0,208.0,29.0,462.0,3693.0,2,2,2
1,0,0,0,0,0,2717.0,2569.0,106.0,132.0,218.0,600.0,17666.0,2,2,2
1,0,0,0,0,0,2610.0,2538.0,242.0,105.0,31.0,240.0,1681.0,2,2,2
1,0,0,0,0,0,2299.0,2235.0,79.0,85.0,15.0,183.0,998.0,2,2,2
1,0,0,0,1,0,2226.0,2169.0,84.0,93.0,50.0,246.0,3654.0,2,2,2
1,0,0,0,1,0,2379.0,2306.0,268.0,103.0,200.0,533.0,14896.0,2,2,2
1,0,0,0,1,0,2289.0,2196.0,284.0,103.0,48.0,300.0,2323.0,2,2,2
1,0,0,0,0,0,2397.0,2382.0,43.0,18.0,13.0,52.0,178.0,1,1,2
0,0,1,0,1,0,2502.0,2417.0,289.0,119.0,40.0,284.0,3626.0,2,2,2
0,0,1,0,1,0,2356.0,2262.0,265.0,131.0,19.0,276.0,1409.0,2,2,2
